user_sha1	total_events	total_breaks	total_submit	total_snapshot	total_view	total_manipulate	n_puzzle	n_puz_no_basic	p_puz_no_basic	n_complete	n_tutorial	n_interm	n_adv	total_active	complete_active	incomplete_active	tutorial_atime_comp	int_atime_comp	adv_atime_comp	tutorial_atime_incomp	int_atime_incomp	adv_atime_incomp	cumu_a_time	persistence_score	non_per	productive	unproductive	rapid	no_beh	avg_revisit	n_attempt	n_failed_att	revisits	diff_event1	diff_event2	diff_event3	different_event	comp_mg1	comp_gmd4	comp_co5	comp_co6	consent	q8	q1_1	q1_2	q1_3	q1_4	q1_5	q1_6	q13_1	q13_2	q13_3	q13_4	q13_5	q14_1	q14_2	q14_3	q14_4	q14_5	q6	q7	q9	q10	q15	q16	sbst1	sbst2	sbst3	sbst4	sbst5	sbst6	sbst7	sbst8	sbst9	sbst10	sbst11	sbst12	sbst13	sbst14	sbst15	sbst16	sbst17	sbst18	sbst19	sbst20	sbst21	sbst22	sbst23	sbst24	sbst25	sbst26	sbst27	sbst28	sbst29	sbst30	sbst	age	gender	hand	item1	item2	item3	item4	item5	item6	item7	item8	item9	item10	item11	item12	item13	item14	item15	item16	item17	item18	item19	item20	item21	item22	item23	item24	item25	item26	item27	item28	item29	item30	sri	mr	so	sv
1f496abfffd8acdeb03efb0429936e71d8ac7472	1182	52	37	109	191	405	13	4	0.1904762	9	8	1		3593.93	2492.11	1101.82	2364.33	127.78		260.44	841.38		71.59692	67.0023	0.0769231	0.3846154	0	0	0.5384616	0.6363636	20	11	7	124	43		167	0.097	0.013	0.014	0.014	Yes	No	Somewhat agree	Somewhat agree	Neither agree nor disagree	Somewhat disagree	Somewhat disagree	Neither agree nor disagree	Neither disagree nor agree	Neither disagree nor agree	Disagree	Strongly Disagree	Disagree	Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Not at all	Never	A non-video game player	No	A	Haven't found the time.	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	7	15	Female	Right-handed	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	13	0	9	4
e7f7515d6f1e380ac5a8c691eb175cb9c77175b3	839	23	19	25	95	296	8	1	0.047619	2	2	0		2247.73	149.08	2098.65	149.08			1824.99	273.66		74.72375	75.48375	0	0.125	0.25	0.125	0.5	0.1666667	8	6	1	100	16		116	0	0	0	0	Yes	Yes	Somewhat disagree	Somewhat disagree	Neither agree nor disagree	Strongly disagree	Neither agree nor disagree	Somewhat agree	Neither disagree nor agree	Neither disagree nor agree	Disagree	Strongly Disagree	Disagree	Agree	Neither disagree nor agree	Agree	Disagree	Disagree	A few times a week	Sometimes	A novice video game player	Yes	C	i didn't understand how to do it	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	1	1	0	1	17																																					
f7341c72a8053343d2898e8bf89c272f4a1ea37d	2386	17	68	48	804	517	18	9	0.4285714	15	9	5	1	4930.01	3103.8	1826.21	1530.64	1524.24	48.92		1826.21		63.28889	64.19945	0	0.2777778	0.1666667	0.0555556	0.5	0.7333333	30	15	11	125	133		258	0.296	0.141	0.169	0.157	Yes	Yes	Somewhat agree	Somewhat agree	Neither agree nor disagree	Neither agree nor disagree	Somewhat disagree	Somewhat agree	Strongly Disagree	Strongly Agree	Agree	Agree	Neither disagree nor agree	Neither disagree nor agree	Disagree	Strongly Disagree	Disagree	Strongly Disagree	A few times a month	Frequently	A novice video game player	Yes	A		1	1	0	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	0	0	1	0	0	17	15	Female	Left-handed	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	18	7	6	5
c0fb8310a6e07e361a17b90e86556202aa68cdfa	615	8	13	1	25	172	10	3	0.1428571	5	5	0		1110.85	219.23	891.62	219.23			315.99	575.63		43.129	45.149	0.1	0	0	0.2	0.7	0	10	5	0	76	29		105	0	0	0	0	Yes	No	Somewhat disagree	Somewhat disagree	Somewhat disagree	Somewhat disagree	Somewhat disagree	Somewhat disagree	Disagree	Agree	Neither disagree nor agree	Disagree	Disagree	Neither disagree nor agree	Disagree	Neither disagree nor agree	Disagree	Disagree	A few times a week	Sometimes	A frequent video game player	Yes	B	forgot username and I had more important work	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	13	16	Male	Right-handed	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	11	2	7	2
1f6cc0dec0e8612f5119f0b5cc21fb68e9adff15	1060	12	21	94	181	314	6	0	0	3	3			2542.42	280.33	2262.09	280.33			2262.09			75.59834	75.19667	0	0.1666667	0.3333333	0	0.5	0.25	7	4	1	83			83	0	0	0	0	Yes																								0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	16	Female	Right-handed	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	3	2	2
ba836261236a7d0daf1aa7e0a18403e1777bd720	2766	121	56	92	414	1053	30	21	1	21	9	7	5	8395.12	5810.97	2584.15	654.51	3630.84	1525.62		1191.34	1392.81	56.566	53.896	0.1	0.1333333	0.0666667	0.0333333	0.6666667	0.5333334	35	15	8	107	132	124	363	0.323	0.453	0.466	0.499	Yes																								0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	15	15	Male	Left-handed	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	24	9	10	5
142f93e578b7d83bdbb7b50d8b37fecb5442ca4c	275	19	16	0	17	76	5	0	0	4	4			1113.59	768.75	344.84	768.75			344.84			75.542	72.588	0	0.4	0	0	0.6		4	0	0	60			60	0	0	0	0	Yes																																																																																											
e10b6038372eb360e47ca23d65fec9b1326f5c75	1373	46	63	0	153	516	20	11	0.5238096	13	8	3	2	3643.88	1594.17	2049.71	1066.34	391.3	136.53	676.9	1327.41	45.4	58.0305	57.549	0.05	0.1	0.05	0	0.8	0.4166667	25	12	5	108	117	20	245	0.302	0.116	0.128	0.128	Yes	No	Somewhat disagree	Somewhat disagree	Somewhat agree	Somewhat disagree	Somewhat disagree	Neither agree nor disagree																	0	1	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	12	15	Female	Right-handed	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	12	3	6	3
6f4f87ac367cace896a30b5d0c34ce97272c1b5b	5665	175	220	182	439	2125	30	21	1	15	9	4	2	14505.17	8115.76	6389.41	5023.4	2435.23	657.13		4465.13	1924.28	72.12366	69.61366	0.1	0.3666667	0.1	0	0.4333333	0.6595744	63	47	33	143	151	142	436	0.155	0.116	0.128	0.129	Yes	Yes	Neither agree nor disagree	Somewhat agree	Neither agree nor disagree	Strongly disagree	Somewhat disagree	Somewhat disagree	Disagree	Strongly Agree	Agree	Neither disagree nor agree	Agree	Agree	Agree	Disagree	Disagree	Disagree	Every day, but for less than 1 hour	Never	A novice video game player	Yes	A	I only play Shadowspect when I'm required to do it for on-demand work.	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	10	15	Female	Right-handed	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	13	3	8	2
fbfed18a0f54ffbd5e077c22d598a2cddc43065d	1222	67	41	52	108	422	10	1	0.047619	8	8	0		3930.92	2498.33	1432.59	2498.33			757.7	674.89		77.634	74.67	0	0.4	0.2	0	0.4	0.5	10	2	1	125	16		141	0	0	0	0	Yes	Yes	Somewhat agree	Strongly agree	Somewhat disagree	Somewhat agree	Somewhat agree	Strongly agree	Strongly Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Disagree	Strongly Disagree	Agree	Strongly Disagree	Strongly Disagree	Not at all	Never	A non-video game player	Yes	C	it became difficult	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	7	15	Female	Right-handed	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	12	4	6	2
57241b419f38740d7a236af5bf0523844846d6b2	5748	94	146	214	795	2179	30	21	1	22	9	6	7	10306.95	3361.52	6945.43	606.29	1290.2	1465.03		3662.88	3282.55	52.63833	58.34533	0.0333333	0.1333333	0.1666667	0.0666667	0.6	1	135	103	104	114	137	187	438	0.526	0.37	0.398	0.418	Yes	Yes	Somewhat agree	Strongly agree	Strongly disagree	Somewhat agree	Somewhat agree	Neither agree nor disagree	Disagree	Agree	Agree	Strongly Agree	Neither disagree nor agree	Disagree	Disagree	Disagree	Disagree	Disagree	A few times a week	Seldom	An occasional video game player	Yes	F	I don't have a response for this question. However, for the question above, I can't see the answers, but my grade in math is 100%	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	28	15	Male	Right-handed	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	23	9	10	4
e00587ea91ce515d8c8e15512f1c0f65305376aa	1572	15	33	36	445	555	15	6	0.2857143	11	9	1	1	3288.14	2817.68	470.46	2008.23	650.24	159.21		470.46		62.51467	64.19534	0.1333333	0.4666667	0	0	0.4	0	13	2	0	128	65		193	0	0.073	0.081	0.082	Yes	Yes	Somewhat disagree	Somewhat disagree	Somewhat agree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Every day, but for less than 1 hour	Never	An occasional video game player	Yes	A		1	1	0	0	1	1	1	0	0	1	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	16	15	Female	Right-handed	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	1	19	3	10	6
23fa45b1411414712deaeebf32ca0b8a64f5a634	795	38	21	20	8	461	10	1	0.047619	3	3	0		2373.9	688.16	1685.74	688.16			1671.21	14.53		64.704	61.055	0.1	0.2	0.2	0	0.5	0.2857143	10	7	2	100	3		103	0	0	0	0	Yes	No	Somewhat disagree	Somewhat disagree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Strongly disagree																	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	1	1	1	18	16	Female	Right-handed	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	12	3	5	4
97ac9e45491e32fd1584708a66a6e4c999dbc2df	637	22	18	3	100	146	10	1	0.047619	6	6	0		1712.38	538.22	1174.16	538.22			901.18	272.98		56.857	53.175	0.1	0.1	0.1	0.1	0.6	0.375	15	8	4	94	15		109	0	0	0	0	Yes																								1	1	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	17	15	Male	Right-handed	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	21	7	9	5
33fde0c0c6e1e07902847a4cb25d9b11491454ba	244	19	0	1	64	5	3	1	0.047619	0	0	0		761.19		761.19				542.66	218.53		57.71333	59.21	0	0	0.3333333	0	0.6666667	0	3	3	0	22	13		35					Yes																								1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	15	Male	Right-handed	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	20	6	9	5
